y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality,p_durbin_watson,autocorrelation
CA4_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.834078236664808,0.380202417810744,0.0768394949904713,1.59131697833914,2.1937741518519,0.0313084945249467,4.99730205190216,*,,,0.780802880318683,,0,0.411023288589594,,0.302,
presubiculum_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.10776235817507,0.40391979817679,0.303286359653162,1.91223835669699,2.7425304804946,0.00759954589083477,7.03987107144984,*,*,,0.253682690673449,,0,0.0919043540920718,,0.246,
subiculum_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.10160501151095,0.399801437285003,0.305331439573839,1.89787858344806,2.75538031826948,0.00733380465997658,7.09122244509685,*,*,,0.695609626214561,,0,0.802106107742647,,0.434,
CA1_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.41967616944475,0.39674164998118,-0.370503307927997,1.2098556468175,1.05780718879568,0.293494038143709,1.76859689726878,,,,0.745542683042572,,0,0.194408485602857,,0.188,
CA3_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.316460656453155,0.427834743902268,-0.535646084431331,1.16856739733764,0.739679656604621,0.461773115486463,1.11474391329418,,,,0.909784032728413,,0,0.323688656645716,,0.874,
molecular_layer_HP_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.513419036994597,0.362672580924178,-0.208906008701227,1.23574408269042,1.41565440565228,0.160961778259461,2.6352099460631,,,,0.761609704692464,,0,0.278389715685406,,0.468,
GC_ML_DG_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.749633800595753,0.387105575127948,-0.0213537704273256,1.52062137161883,1.93650995687153,0.0565229226869439,4.14502012330769,,,,0.108351601858809,,0,0.231002122704352,,0.538,
CA4_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.735474215918886,0.389927120697933,-0.0411329501327959,1.51208138197057,1.88618379404453,0.0630905834118484,3.98643149801876,,,,0.221318108703289,,0,0.123152307683569,,0.968,
Whole_hippocampal_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.955166645025775,0.325330727935529,0.307214345120822,1.60311894493073,2.93598656077474,0.00439685644801528,7.82931185357099,*,*,,0.887411520150913,,0,0.21540716692136,,0.628,
Whole_hippocampal_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.01323343945085,0.336626530683894,0.342783598608027,1.68368328029367,3.00996311072794,0.00354428071411718,8.14029141191291,*,*,,0.398301515207828,,0,0.993572236289585,,0.016,!
Hippocampal_tail_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.15611849361608,0.388697927387365,0.381959478213009,1.93027750901914,2.97433665619709,0.00393367256914078,7.98990740903252,*,*,,0.976153848243242,,0,0.336866200970069,,0.156,
hippocampal_fissure_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,-0.386198563741773,0.38045958569119,-1.14394949963967,0.371552372156128,-1.0150843302848,0.313286355985637,1.67444615499163,,,,0.23172986450687,,0,0.00363358359418712,!,0.608,
fimbria_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.166420187367989,0.369654819866773,-0.569811192383795,0.902651567119774,0.450204294449532,0.653844756499519,0.612979960104139,,,,0.595070397778562,,0,0.0359871206644996,!,0.158,
parasubiculum_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.582190337576141,0.416886809232195,-0.248111701693781,1.41249237684606,1.39651897033729,0.166623538678233,2.58533587224175,,,,0.693287402678909,,0,0.014577732859883,!,0.592,
HATA_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.763443437749122,0.392519671155561,-0.018327240038139,1.54521411553638,1.94498134450581,0.0554765088995065,4.17197918711394,,,,0.52786954898825,,0,0.782746580139753,,0.784,
presubiculum_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.04758932658916,0.367602495483287,0.315445505098072,1.77973314808025,2.84978839768728,0.00562760527588376,7.47326314416439,*,*,,0.277820645352723,,0,0.908656425955542,,0.764,
subiculum_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.864546742328011,0.382830908548996,0.102072907645594,1.62702057701043,2.25829922041774,0.0267961002106078,5.22183313745749,*,,,0.818918695786337,,0,0.757316643785138,,0.834,
CA1_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.80601265826812,0.364125199562714,0.0807944718176653,1.53123084471857,2.21355912536699,0.0298589102060664,5.06569467899065,*,,,0.949776324914366,,0,0.53432325617852,,0.37,
CA3_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.696240457075135,0.401365920291729,-0.103149052814725,1.49562996696499,1.73467756447553,0.0868519507390595,3.52529793680956,,,,0.465524333890799,,0,0.657983203023015,,0.768,
molecular_layer_HP_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.429820697130194,0.372113304673674,-0.311307179472722,1.17094857373311,1.15508016437931,0.251676388109948,1.99035822346032,,,,0.0287176495365761,!,0,0.194752053132894,,0.322,
GC_ML_DG_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.952945789076528,0.393451880025943,0.169318456415658,1.7365731217374,2.42201356113407,0.0178180696483499,5.81051514133247,*,*,,0.276882727836555,,0,0.238885526622425,,0.39,
CA4_head_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.830180094514906,0.388803236859647,0.0558113371203612,1.60454885190945,2.13521909236211,0.0359652044971466,4.79725438252296,*,,,0.383636922218815,,0,0.302949773175314,,0.788,
presubiculum_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.953903422198794,0.362786533275431,0.231351420726176,1.67645542367141,2.62937935867256,0.010348159522135,6.5944819905912,*,*,,0.264629815866991,,0,0.0214803328507595,!,0.318,
subiculum_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.17281168022885,0.352596530336923,0.470554828501052,1.87506853195664,3.32621446702316,0.00135801908478415,9.52428053016783,*,*,,0.720886203938651,,0,0.131014477912265,,0.052,
CA1_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.592529314177767,0.418364104232369,-0.240715013080367,1.4257736414359,1.41630055777602,0.160773214916492,2.63690102373083,,,,0.383695052765605,,0,0.360979609822078,,0.16,
CA3_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.76065117281949,0.397455816609073,-0.030950690664754,1.55225303630373,1.91380058117918,0.0594110297522227,4.07312539525297,,,,0.752236403752686,,0,0.83044674467843,,0.0900000000000001,
molecular_layer_HP_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.372006923803928,0.413310839111485,-0.451172953723669,1.19518680133153,0.900065734069908,0.370928449481673,1.43078717093403,,,,0.559936707246453,,0,0.356545738606956,,0.038,!
GC_ML_DG_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.871654920511467,0.393610584271897,0.0877115009508971,1.65559834007204,2.21451087786132,0.0297906861426595,5.06899483747924,*,,,0.132669822776117,,0,0.934832257431933,,0.67,
CA4_body_lhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.971355868172084,0.400697852955038,0.17329692969811,1.76941480664606,2.42416040168071,0.0177207826698429,5.81841386528557,*,*,,0.682090339223662,,0,0.469546424141043,,0.308,
